gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
USP10	4.51e+02	-0.07	0.09	-7.98e-01	4.25e-01	1.00e+00
USP11	4.66e+02	-0.07	0.11	-6.13e-01	5.40e-01	1.00e+00
USP12	8.51e+02	0.07	0.10	6.42e-01	5.21e-01	1.00e+00
USP13	3.32e+02	0.03	0.10	2.68e-01	7.89e-01	1.00e+00
USP14	9.45e+02	0.06	0.07	8.31e-01	4.06e-01	1.00e+00
USP15	3.22e+02	0.04	0.14	2.81e-01	7.79e-01	1.00e+00
USP16	3.79e+02	-0.11	0.09	-1.24e+00	2.16e-01	1.00e+00
USP18	1.49e+01	0.01	0.41	1.59e-02	9.87e-01	1.00e+00
USP19	2.13e+02	-0.05	0.13	-3.56e-01	7.22e-01	1.00e+00
USP2	1.89e+00	1.17	0.83	1.40e+00	1.60e-01	1.00e+00
USP20	6.55e+01	0.13	0.18	7.05e-01	4.81e-01	1.00e+00
USP21	6.60e+01	-0.02	0.17	-1.01e-01	9.20e-01	1.00e+00
USP22	4.64e+03	0.06	0.05	1.11e+00	2.69e-01	1.00e+00
USP24	1.02e+03	-0.02	0.12	-2.03e-01	8.39e-01	1.00e+00
USP25	4.16e+02	-0.12	0.10	-1.21e+00	2.25e-01	1.00e+00
USP27X	7.67e+01	0.06	0.16	3.62e-01	7.17e-01	1.00e+00
USP28	2.03e+02	-0.07	0.14	-4.99e-01	6.18e-01	1.00e+00
USP3	1.95e+02	0.09	0.11	8.85e-01	3.76e-01	1.00e+00
USP30	6.38e+01	-0.05	0.16	-3.07e-01	7.59e-01	1.00e+00
USP31	3.17e+02	0.13	0.10	1.36e+00	1.74e-01	1.00e+00
USP32	5.04e+02	-0.09	0.09	-1.06e+00	2.89e-01	1.00e+00
USP33	6.53e+02	-0.08	0.09	-9.03e-01	3.66e-01	1.00e+00
