gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
SNX14	6.05e+02	0.02	0.08	2.94e-01	7.69e-01	1.00e+00
SNX15	5.20e+01	0.31	0.17	1.76e+00	7.80e-02	1.00e+00
SNX20	4.43e-01	1.58	1.64	9.64e-01	3.35e-01	1.00e+00
SNX24	9.92e+01	0.08	0.12	6.30e-01	5.29e-01	1.00e+00
SNX25	1.70e+02	0.06	0.11	5.15e-01	6.06e-01	1.00e+00
SNX27	2.69e+02	0.12	0.10	1.19e+00	2.36e-01	1.00e+00
SNX3	2.73e+03	0.01	0.10	1.31e-01	8.96e-01	1.00e+00
SNX30	3.26e+02	0.12	0.09	1.31e+00	1.89e-01	1.00e+00
SNX32	2.86e+00	0.18	0.81	2.19e-01	8.26e-01	1.00e+00
SNX5	4.75e+02	0.06	0.08	7.45e-01	4.56e-01	1.00e+00
SOAT1	5.73e+02	0.09	0.11	7.65e-01	4.44e-01	1.00e+00
SOBP	2.39e+01	0.02	0.26	6.94e-02	9.45e-01	1.00e+00
SOCS3	3.17e+02	0.07	0.14	4.90e-01	6.24e-01	1.00e+00
SOCS4	7.42e+02	0.11	0.11	1.06e+00	2.89e-01	1.00e+00
SOCS5	2.25e+02	0.09	0.11	8.03e-01	4.22e-01	1.00e+00
SOCS6	4.79e+02	0.09	0.10	8.93e-01	3.72e-01	1.00e+00
SOCS7	1.81e+02	0.14	0.14	1.03e+00	3.02e-01	1.00e+00
SOD1	1.92e+03	0.01	0.08	9.68e-02	9.23e-01	1.00e+00
SOD2	1.80e+03	0.07	0.08	7.86e-01	4.32e-01	1.00e+00
SOGA3	1.44e+02	0.10	0.14	7.00e-01	4.84e-01	1.00e+00
SON	2.22e+03	0.06	0.08	7.45e-01	4.57e-01	1.00e+00
SORBS1	5.36e+02	0.08	0.10	7.41e-01	4.59e-01	1.00e+00
SORBS2	5.25e+02	0.04	0.09	4.77e-01	6.34e-01	1.00e+00
SORBS3	1.70e+02	0.08	0.13	6.61e-01	5.09e-01	1.00e+00
SORCS1	1.33e+02	0.01	0.16	4.64e-02	9.63e-01	1.00e+00
SORCS3	2.76e+00	0.45	0.70	6.41e-01	5.21e-01	1.00e+00
SORD	2.30e+02	0.06	0.11	5.54e-01	5.79e-01	1.00e+00
SORL1	1.03e+02	0.03	0.16	1.68e-01	8.67e-01	1.00e+00
SOWAHC	2.04e+01	0.02	0.28	5.49e-02	9.56e-01	1.00e+00
SOX11	4.30e+02	0.16	0.15	1.09e+00	2.78e-01	1.00e+00
SOX13	3.42e+02	0.01	0.11	6.69e-02	9.47e-01	1.00e+00
SOX15	1.97e+00	0.34	0.79	4.37e-01	6.62e-01	1.00e+00
SOX17	5.68e+02	0.09	0.14	6.28e-01	5.30e-01	1.00e+00
SOX2	4.59e-01	1.53	1.79	8.56e-01	3.92e-01	1.00e+00
SOX4	1.56e+03	0.12	0.10	1.22e+00	2.23e-01	1.00e+00
SOX5	1.05e+02	0.05	0.17	3.06e-01	7.60e-01	1.00e+00
SOX7	7.30e+02	0.08	0.09	8.25e-01	4.09e-01	1.00e+00
SOX8	3.37e+01	0.06	0.22	2.82e-01	7.78e-01	1.00e+00
SP1	7.27e+02	0.02	0.07	2.88e-01	7.74e-01	1.00e+00
SP140L	1.88e+02	0.18	0.10	1.84e+00	6.55e-02	1.00e+00
SP2	5.29e+01	0.16	0.18	8.89e-01	3.74e-01	1.00e+00
SP3	5.21e+02	0.07	0.07	9.72e-01	3.31e-01	1.00e+00
SP4	6.02e+01	0.05	0.18	2.96e-01	7.67e-01	1.00e+00
SP6	2.07e+02	0.15	0.18	8.05e-01	4.21e-01	1.00e+00
SPACA6	2.16e+00	0.27	0.86	3.12e-01	7.55e-01	1.00e+00
SPACA9	1.70e+01	0.15	0.32	4.64e-01	6.43e-01	1.00e+00
SPAG1	3.60e+01	0.04	0.24	1.80e-01	8.57e-01	1.00e+00
SPAG16	8.21e+01	0.33	0.15	2.19e+00	2.88e-02	1.00e+00
SPAG4	1.35e+00	0.78	1.08	7.22e-01	4.70e-01	1.00e+00
SPAG6	7.33e-01	0.33	1.47	2.23e-01	8.24e-01	1.00e+00
SPAG7	4.84e+02	0.01	0.09	6.14e-02	9.51e-01	1.00e+00
SPAG8	4.11e-01	0.86	1.84	4.69e-01	6.39e-01	1.00e+00
SPARCL1	5.47e+00	0.72	0.53	1.36e+00	1.74e-01	1.00e+00
SPART	1.52e+03	0.02	0.07	2.78e-01	7.81e-01	1.00e+00
SPAST	5.04e+02	0.04	0.09	4.62e-01	6.44e-01	1.00e+00
SPATA13	1.02e+02	0.20	0.15	1.33e+00	1.84e-01	1.00e+00
SPATA2	3.82e+01	0.24	0.21	1.14e+00	2.56e-01	1.00e+00
SPATA20	1.18e+02	0.19	0.17	1.09e+00	2.74e-01	1.00e+00
SPATA46	9.94e-01	0.82	1.12	7.33e-01	4.64e-01	1.00e+00
SPATA5	1.38e+02	0.02	0.14	1.49e-01	8.82e-01	1.00e+00
SPATA5L1	7.20e+01	0.08	0.15	4.93e-01	6.22e-01	1.00e+00
SPATA6	4.65e+01	0.07	0.19	3.67e-01	7.14e-01	1.00e+00
SPATA6L	1.98e+00	0.04	0.93	3.79e-02	9.70e-01	1.00e+00
SPATA7	8.13e+01	0.06	0.14	4.44e-01	6.57e-01	1.00e+00
SPATA9	2.96e+00	0.99	0.71	1.40e+00	1.62e-01	1.00e+00
SPATS2	2.32e+02	0.01	0.08	1.63e-01	8.71e-01	1.00e+00
SPC25	4.86e+01	0.19	0.19	9.84e-01	3.25e-01	1.00e+00
SPCS1	5.33e+02	0.08	0.15	5.35e-01	5.92e-01	1.00e+00
SPCS3	3.29e+03	0.08	0.07	1.29e+00	1.99e-01	1.00e+00
SPDL1	3.53e+02	0.11	0.10	1.04e+00	2.99e-01	1.00e+00
SPDYE1	3.96e+00	1.11	0.87	1.28e+00	1.99e-01	1.00e+00
SPDYE10P	2.16e-01	1.49	3.05	4.89e-01	6.25e-01	1.00e+00
SPDYE12P	1.57e+00	1.10	2.80	3.94e-01	6.93e-01	1.00e+00
SPDYE17	1.01e+00	2.89	3.00	9.64e-01	3.35e-01	1.00e+00
SPDYE18	1.12e+00	1.43	1.20	1.19e+00	2.33e-01	1.00e+00
SPDYE2	7.01e+00	0.41	0.53	7.76e-01	4.38e-01	1.00e+00
SPDYE21	3.53e+00	0.15	0.84	1.80e-01	8.57e-01	1.00e+00
SPDYE5	1.83e+00	0.41	2.01	2.04e-01	8.38e-01	1.00e+00
SPEF2	4.09e+02	0.09	0.10	8.47e-01	3.97e-01	1.00e+00
SPEG	2.37e+00	0.52	1.69	3.08e-01	7.58e-01	1.00e+00
SPEN	6.66e+02	0.02	0.22	7.34e-02	9.41e-01	1.00e+00
SPHK2	4.63e+01	0.11	0.17	6.35e-01	5.25e-01	1.00e+00
SPIB	3.82e+00	1.36	0.82	1.66e+00	9.68e-02	1.00e+00
SPIN1	1.21e+03	0.03	0.08	3.28e-01	7.43e-01	1.00e+00
SPIN2B	1.85e+02	0.02	0.12	1.37e-01	8.91e-01	1.00e+00
