	F16	F17	F18	F22	F23	F24
DHRS2	8.11267266671333	1.18560290000487	0	0	2.02937850328347	1.69547852601356
DHRS3	81.1267266671333	33.1968812001363	33.8774289272687	41.5724278534072	16.2350280262678	14.4115674711153
DHRS4	1467.37966859177	833.478838703422	1238.30917842043	935.379626701662	1175.01015340113	1247.87219514598
DHRS4L1	4.05633633335667	0	2.67453386267911	3.11793208900554	3.04406775492521	0.847739263006782
DHRS4L2	977.577056338956	630.740742802589	880.813152108986	599.682271785399	750.870046214885	760.422118917084
DHRS7	2236.05540376286	2125.78599970873	1976.48052451986	1488.29291715198	1870.07229077572	1888.76307797911
DHRS7B	1421.74588484151	985.236009904045	1405.91330048165	871.981674225216	1338.37512291545	1174.9666185274
DHRSX	1311.21071975754	1236.58382470508	1226.71953168215	1213.91489331949	1382.00676073605	1519.14875930815
DHTKD1	943.098197505425	1038.58814040426	824.647940992725	732.714040916302	744.781910705035	690.059760087521
DHX15	3916.39272985586	4491.06378521844	3892.33828148566	5520.81841893247	4383.4575670923	5170.36176507836
DHX16	1418.70363259149	1346.84489440553	1513.78616627637	1832.30475763892	1616.39997786529	1840.44193998772
DHX29	888.33765700511	1046.8873607043	839.80363288124	1181.6962617331	936.558179265323	961.336324249691
DHX30	4294.64609294137	5456.1445458224	4918.46777346688	5978.11512531995	5619.34907559194	5754.45411729004
DHX32	2037.29492342839	2309.55444920948	2224.32066246146	2545.27189532485	2340.88810353749	2421.14333514737
DHX33	643.943392920371	935.44068810384	777.39784275206	824.173382193797	803.633887300256	625.631576099005
DHX34	1301.06987892415	1656.2872513068	1652.86192713569	1902.97788498971	1892.39545431184	2120.19589677996
DHX35	363.042101835422	248.976609001022	252.297694379396	309.714587507884	395.728808140277	273.819781951191
DHX36	966.422131422226	1342.10248280551	977.987882452993	1512.19706316769	1215.5977234668	1213.96262462571
DHX37	1109.40798717305	1363.4433350056	1366.68680382902	1547.53362684308	1605.23839609723	1533.56032677927
DHX38	3165.97050818488	2863.23100351175	3222.81330452832	4570.88844248212	4471.73553198513	4633.74281159507
DHX40	1437.97123017494	1984.69925460815	1485.25780507446	1541.29776266507	1548.41579800529	1344.51447112876
DHX57	946.140449755442	1166.63325360479	995.818108204188	987.345161518421	832.045186346224	744.315072919955
DHX58	42.591531500245	14.2272348000584	5.34906772535821	8.31448557068144	0	0
DHX8	1582.98525409244	2402.03147540986	2087.02792417726	2525.52499209449	2521.50279032972	2119.34815751696
DHX9	6728.44789295537	6654.78907772732	5955.29540089881	9697.80810750356	8169.26316496762	9026.72767249622
DIABLO	2386.13984809706	1939.64634440796	2097.72605962798	1662.89711413629	1956.32087716527	2214.29495497371
DIAPH1	4404.167173942	6757.93653002774	6771.02822901594	7886.28956379134	7483.33323085781	8019.61342804416
DIAPH2	381.295615335527	767.085076303149	482.307606569799	832.487867764479	532.711857111912	800.265864278402
DIAPH3	126.760510417396	54.5377334002239	72.2124142923359	38.4544957644016	30.4406775492521	33.0618312572645
DICER1	2317.18213043	4533.74548961861	3126.53008547188	4634.28639495857	3757.39429882935	3474.8832390648
DIDO1	1990.64705559478	2412.7019015099	2433.82581503799	3271.75007206315	3111.03724553357	3421.47566549537
DIEXF	536.450480086419	746.929827003066	594.638028802321	865.745810047205	727.532193427125	935.056407096481
DIMT1	1277.74594500735	1171.37566520481	1304.28101369984	1044.50724981686	1168.92201789128	1142.75252653314
DIP2A	1083.04180100623	1364.6289379056	1518.24372271417	2050.56000386931	1885.29262955035	1436.07031153349
DIP2B	1720.90068942657	3252.10875471335	2619.26016285041	4247.66281592188	3599.10277557324	3924.1850484584
DIP2C	684.506756253937	1190.34531160489	1239.20068970799	1514.27568456036	1204.43614169874	1346.20994965477
DIRAS1	20.2816816667833	11.8560290000487	0	8.31448557068144	4.05875700656695	20.3457423121628
DIRAS2	0	3.5568087000146	12.4811580258358	7.27517487434626	0	20.3457423121628
DIRAS3	6.084504500035	20.1552493000827	14.2641806009552	10.3931069633518	20.2937850328347	13.5638282081085
DIRC2	1234.14032942377	1694.22654410696	1442.4652632716	1376.04736194778	1169.93670714292	1163.94600810831
DIS3	1752.33729601008	1912.37747770785	1725.07434142802	2055.75655735099	1914.71861784796	1659.02573770427
DIS3L	920.788347671963	1353.95851180556	944.110453525725	809.623032445105	775.222588254287	610.372269364883
DIS3L2	1461.29516409174	1548.39738740636	1421.96050365773	1297.0597490263	1160.80450387815	1253.80636998703
DISC1	1634.70354234274	2358.16416810968	1668.90913031176	1828.14751485358	1383.02144998769	1252.95863072402
DISP1	480.675855502765	448.15789620184	461.802846955926	399.095307392709	433.272310451022	440.824416763527
DISP2	130.816846750752	151.757171200623	172.953189786582	354.404947450296	422.110728682963	407.762585506262
DIXDC1	281.915375168288	593.987052902438	371.760206912396	177.722129073316	184.673443798796	169.547852601356
DKC1	1380.16843742461	1225.91339860503	1109.04004172427	1241.97628212054	1019.76269789995	1227.52645283382
DKK1	341.746336085299	262.018240901076	470.717959831523	42.6117385497424	14.2056495229843	20.3457423121628
DKK2	489.802612252817	636.668757302614	1413.04539078213	1087.1189883666	858.427106888909	1692.93530822454
DKK3	16137.1200181762	17306.245531371	18906.2798752786	8793.60780169195	9811.03037412395	8902.11000083422
DKKL1	19.2675975834442	3.5568087000146	15.1556918885149	10.3931069633518	10.1468925164174	1.69547852601356
DLAT	1813.18234101043	2259.75912740928	2031.75422434856	2586.84432317826	2397.71070162942	2609.34145153488
DLC1	2490.59050868099	2732.81468451122	2726.24151735757	6774.2271187127	5700.52421572328	6892.96794750815
DLD	3205.5197874351	2931.99597171204	2898.30319585659	3011.92239797935	2917.23159846999	2923.85271811039
DLEC1	2.02816816667833	0	5.34906772535821	2.07862139267036	0	2.54321778902035
DLEU7	0	1.18560290000487	0.891511287559702	0	0	1.69547852601356
DLG1	1029.29534458925	1444.06433220593	1101.01644013623	1438.40600372789	1170.95139639456	1085.10625664868
DLG2	100.394324250577	138.715539300569	41.0095192277463	22.864835319374	15.2203387746261	11.868349682095
DLG3	284.957627418306	297.586327901222	344.123356998045	310.753898204219	252.657623658792	356.050490462849
DLG4	1965.2949535113	1710.82498470702	2080.78734516434	2150.33383071749	2027.34912478019	2058.31093058047
DLG5	458.366005669303	612.956699302516	529.557704810463	427.156696193759	528.653100105345	538.314432009307
DLGAP1	169.352041917641	358.05207580147	236.250491203321	192.272478822008	152.203387746261	189.893594913519
DLGAP3	542.534984586454	515.737261502117	700.727872021926	509.262241204238	606.784172481759	466.25659465373
DLGAP4	14474.0221214999	16351.8351968671	15025.5312405312	17961.3674540646	21262.8132681526	17521.9228270872
DLGAP5	285.971711501645	42.6817044001752	62.4057901291792	8.31448557068144	24.3525420394017	5.08643557804069
DLK1	14505.4587280834	12051.6534785495	13619.6179400496	7661.79845338294	8636.02022072282	11070.6270356056
DLK2	2.02816816667833	0	3.56604515023881	7.27517487434626	12.1762710197008	27.127656416217
DLL1	363.042101835422	284.544696001168	382.458342363112	239.041460157091	217.143499851332	155.136285130241
DLL3	38.5351951668883	9.48482320003894	111.438910944963	16.6289711413629	21.3084742844765	16.9547852601356
DLL4	36470.5199732098	24945.0850161024	34122.5945313476	22893.9360188713	20706.7635582529	21891.1709886241
DLST	5489.23714311491	5636.35618662314	5495.27557651801	5980.19374671262	6297.16149568862	5940.10901588852
DMAP1	1390.309278258	928.327070703811	1027.02100326878	765.971983199027	991.351398853977	989.311719928915
DMC1	20.2816816667833	13.0416319000535	16.9387144636343	10.3931069633518	35.5141238074608	10.1728711560814
DMD	40.5633633335667	67.5793653002774	64.1888127042986	18.7075925340332	23.33785278776	18.6502637861492
DMKN	13.1830930834092	18.9696464000779	10.6981354507164	21.8255246230388	12.1762710197008	13.5638282081085
DMPK	1835.49219084389	805.024369103305	1181.25245601661	1889.46684593736	1526.09263446917	1613.24781750191
DMRTA1	119.661921834022	147.014759600604	105.198331932045	82.1055450104792	65.9548013567129	101.728711560814
DMRTC1	59.8309609170108	49.7953218002044	29.4198724894702	2.07862139267036	15.2203387746261	16.1070459971289
DMRTC1B	59.8309609170108	49.7953218002044	29.4198724894702	2.07862139267036	15.2203387746261	16.1070459971289
DMTF1	444.168828502555	500.324423802054	381.566831075553	636.05814615713	453.566095483856	426.412849292411
DMWD	3025.01282060073	3368.29783891383	3857.56934127083	4936.7258075921	5154.62139834002	5776.49533812821
DMXL1	662.196906420476	1013.69047950416	726.581699361157	1037.23207494251	890.897162941445	944.381538989555
DMXL2	439.098408085859	703.062519702886	539.36432897362	878.217538403227	592.578522958774	630.718011677046
DNA2	52.7323723336367	56.9089392002336	98.0662416315673	56.1227776020997	54.7932195886538	46.625659465373
DNAAF2	712.901110587434	534.706907902195	465.368892106165	510.301551900573	565.181913164447	571.376263266571
DNAAF3	75.0422221670983	125.673907400516	64.1888127042986	156.935915146612	153.218076997902	158.527242182268
DNAH1	164.281621500945	64.0225566002628	73.1039255798956	169.407643502634	154.232766249544	83.9261870376714
DNAH10	12.16900900007	23.7120580000973	20.5047596138732	30.1400101937202	32.4700560525356	41.5392238873323
DNAH11	2.02816816667833	11.8560290000487	15.1556918885149	0	4.05875700656695	4.23869631503391
DNAH14	35.4929429168708	13.0416319000535	39.2264966526269	39.4938064607368	25.3672312910434	36.4527883092916
DNAH17	41.5774474169058	24.8976609001022	53.4906772535821	80.0269236178088	44.6463270722364	101.728711560814
DNAH3	0	2.37120580000973	3.56604515023881	2.07862139267036	2.02937850328347	0.847739263006782
DNAH5	37.5211110835492	33.1968812001363	43.6840530904254	27.0220781047147	8.1175140131339	18.6502637861492
DNAH6	40.5633633335667	77.0641885003164	76.6699707301344	7.27517487434626	27.3966097943269	7.62965336706104
DNAH7	13.1830930834092	4.74241160001947	8.91511287559702	4.15724278534072	1.01468925164174	0
DNAH9	14.1971771667483	8.29922030003407	7.13209030047762	14.5503497486925	7.10282476149216	30.5186134682442
DNAJA1	9675.37623913899	9228.73297363789	9479.43952062231	14137.7434022474	13437.5297594915	14665.0415107543
DNAJA2	3049.35083860087	2658.12170181091	2644.22247890208	3198.99832331968	3019.71521288581	2891.63862611613
DNAJA3	1178.36570484011	1229.47020730505	1579.75800155579	1351.10390523573	1474.34348263544	1351.29638523281
DNAJA4	27.3802702501575	17.784043500073	17.830225751194	16.6289711413629	45.6610163238782	22.0412208381763
DNAJB1	4692.16705361032	4277.65526321756	4476.27817483727	5963.56477557126	6767.97730845039	7393.98185194515
DNAJB11	3876.84345060563	2493.32289871024	2921.48248933314	4092.80552216794	4156.16717472455	4169.18169546735
DNAJB12	2761.35095893255	2381.87622610978	2925.94004577094	2970.34997012594	3007.53894186611	3231.58207058185
DNAJB14	571.94342300329	1086.01225640446	841.586655456359	1235.74041794253	961.925410556367	860.455351951884
DNAJB2	3205.5197874351	2490.95169291023	3213.00668036517	3179.25142008931	3723.90955352517	3343.48365329875
DNAJB4	521.239218836332	570.274994902341	496.571787170754	469.768434743501	528.653100105345	467.952073179744
DNAJB5	583.098347920021	597.543861602453	582.156870776486	448.982220816798	443.419202967439	439.97667750052
DNAJB6	7298.36314779198	7945.91063583262	7872.93618043973	9225.96105136739	9204.2462016422	9765.95630983813
DNAJB9	1483.6050139252	1485.5604337061	1240.98371228311	2158.64831628817	2044.5988420581	2619.51432269096
DNAJC1	3051.37900676755	2684.20496561102	2995.4779262006	3470.25841506317	3943.08243187979	4214.95961566972
DNAJC10	6015.54678236794	7391.04847863034	6650.67420519538	7348.96593378606	6568.08352587696	6619.14816555696
DNAJC11	2509.85810626444	2065.32025180848	2505.14671804276	2791.58853035629	2725.45532990971	2577.97509880362
