gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
FAM18B2	171.65	193.05	144.23	146.67	147.51	198.56	128.97	55.48	202.81	108.92	87.85	114.81
FAM18B2-CDRT4	0	282.92	215.91	232.75	606.98	560.8	274.01	318.55	323.39	611.03	451.6	381.63
FAM190A	74	182	46	161	242	296	127	89	116	124	147	42
FAM190B	928.66	1090.51	436	1181.9	955.54	1639.05	2232.99	1040	2884.41	1430.85	2115.27	1818.84
FAM192A	2474	2371.99	2467	2381	2149	2463	2984.93	929.92	1533.56	1984.99	1731	1907.94
FAM193A	724	878	424	762	429	771	1302	596	1837.2	368	377	733
FAM193B	1246.36	889.17	1002	638.01	334.23	595.98	1026.77	335.12	1377.02	484.04	322.33	385
FAM194A	6	27.24	41	9.01	10	4	4	5	7	2	20.85	3
FAM194B	0	0	0	0	0	0	0	0	0	0	0	0
FAM195A	1988.32	1089	1905.99	965	947.83	707.99	530	704.07	180	723	359.99	534.96
FAM195B	32928.74	20722.67	37462.37	19668.32	19722.02	16726.36	14152.76	12065.12	6774.84	18671.39	13044.68	18192.53
FAM196A	0	12	0	0	0	13	0	26	7	0	0	4
FAM196B	0	0	0	16	12	24	0	0	2	0	14	0
FAM198A	0	0	0	0	0	6	0	0	0	0	0	0
FAM198B	8339.61	20245.87	8221.93	14970.25	19990.23	22088.04	19311.45	10842.84	20895.87	13412.36	24710.77	17434.2
FAM199X	511	1011	517	790.99	1029.51	1319	1388.03	751	1576	993.99	1217.88	1151.02
FAM19A1	0	0	0	14	0	0	0	0	0	0	0	0
FAM19A2	75	153	50	80	228.01	154	28	18	34	24	35	12
FAM19A3	0	16	0	0	0	0	0	0	0	0	0	0
FAM19A4	6	32	0	34	51	42	50	2	16	24	39	6
FAM19A5	458	306	257	278	421.99	308.99	122	23	105	142	142	129
FAM200A	220	366	164	345.18	386	373	300	134	182.43	246	330	333
FAM200B	439	466	483	346	407	410	388	213	264.41	392.05	352	335
FAM203A	1274	1472	1178	1445	1170	1170	1472	456	1006	1286	917	1130
FAM204A	1203.34	1935.74	1931	1612.23	1532.15	1549.56	1651.65	1023.98	970.35	1432.97	1120.13	1957.4
FAM205A	0	0	0	0	0	0	0	0	0	0	0	0
FAM206A	193.06	452	410.95	542	442	505.51	580	352	399.97	378	544	580
FAM207A	1867.05	645.97	1363	669.48	413	464.96	567	229.95	330	474	514.94	654.58
FAM208A	882.01	1260.76	626	1286.75	896.62	1683.5	2428.65	856.41	2623.83	992.89	1454.98	1636.71
FAM208B	309.54	641	297	628	368.06	789	909	379.03	1873.99	477	561	813
FAM209A	0	0	0	0	0	1	0	0	9	0	0	0
FAM209B	0	0	0	0	0	8	2	0	3	8	0	0
FAM20A	82	85	44	100	30	134	27	34	32	50	10	26
FAM20B	1157.39	2428.86	1033.06	2208.98	1806.9	2138.05	2883.35	1293.56	2341.29	1768.64	1710.9	2050.17
FAM20C	792	694	471	552	420	350	1575	460	722	872	447	685
FAM210A	523	574.03	425	609	510	658.45	857	624.71	622.04	619	513	767
FAM210B	1375.32	2926.43	1697.87	3015.5	2820.81	3532.42	3415.59	1654	1844.96	3160.83	2439.84	2479.44
FAM211A	30	92	52	119	59	107	134	178	94	14	62	59
FAM211B	575.04	246	351	171	112	130	248	111	104	108	83	79
FAM212A	12301.79	5885.08	12105.81	5733.24	4792.24	4291.97	3799	2544	1765	4257.03	3068.6	4181.9
FAM212B	598	615.99	551	625	547.76	736	807.03	742.83	834.41	637.47	380	649.23
FAM213A	7784.29	10582.7	8076.09	11565.85	8212.45	8324.12	10054.47	3925.84	5599.44	7356.16	4890.36	6672.33
FAM213B	3412	5493.02	4224	5708.13	5403.28	5183	5516	2167	3845.98	5190	4639	4499.3
FAM214A	153	475	218	215	209	399	700	276	1084.85	140	442	337
FAM214B	1359	1301.06	967	1158.25	1123.6	1395	2684	881	2900.94	1532	2255	2721.81
FAM216A	79	188	206	85	131	147.24	180	188	112	140	157	237
FAM216B	0	0	0	0	0	0	0	0	0	0	0	0
FAM217A	0	0	0	0	0	0	0	0	0	0	0	0
FAM217B	440.99	533.76	373.54	416.11	430.06	621.12	630.38	436.01	496.69	423.85	512.87	460.64
FAM218A	0	17	32	0	8	18	18	0	10	0	0	10
FAM219A	3286.36	6363.94	3683.33	5923.6	5475.36	6467.09	10030.17	6268.52	12735.75	7424.72	7998.73	10327.75
FAM219B	2310.05	3291	2251.01	3276	2890	3018	4006.07	1966.93	3063	3157	2366	3420.94
FAM21A	0	2167.96	925.11	1537.45	1065.15	1986.6	1666.9	1013.76	3150.86	1664.93	1367.69	1878.43
FAM21B	2387.04	1043.74	811.11	949.02	618.03	700.95	3194.96	521.78	2153.61	1016.5	695.97	1097.13
FAM21C	1792.96	2666.57	1094.78	2194.98	1514.82	2578.52	3591.08	995.84	4452.35	1728.03	1446.67	2241.53
FAM220A	627	1286	1120	1242	1274	1440	1351.05	799	1025	1315	1588	1504.85
FAM22A	379.41	133.82	259	263.02	77.39	124.5	156.98	92.12	258.49	141.01	38.18	91.06
FAM22D	12.59	30.18	55	34.98	50.61	59.5	84.02	10.88	122.51	28.99	2.82	54.94
FAM22F	0	0	0	0	0	0	0	0	0	0	2	0
FAM22G	18	27	30	18	0	0	14	0	59.51	0	0	0
FAM24A	0	0	0	0	0	0	0	0	0	0	0	0
FAM24B	0	0	0	0	0	0	0	0	0	0	0	8
FAM25A	0	0	0	0	0	0	0	0	0	0	0	0
FAM25B	0	0	0	0	0	0	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0	0	0	0	0	0	0
FAM26D	0	2	0	0	0	0	0	0	0	2	0	0
FAM26E	238	447	271	363	391	521	412	310	338	213	349	273
FAM26F	0	36	40	5	6	30	8	20	0	6	0	8
FAM32A	6187	7483.11	8324	6938.54	5784	5946	6517	3753.01	3449	5905	4241.99	5574
FAM35A	693	1176.76	607	593	905	1093.21	950	453	535.98	505.01	564	498.12
FAM3A	2758.98	2261.98	2485	2381.07	1885.77	1828	2124.16	734.1	1196.36	1955	1521.98	1763
FAM3B	22	38	0	6	0	8	0	0	0	0	0	0
FAM3C	1384.07	1756	968	1354	1169	1821	2251	1061	2590.15	1619	1916	1688
FAM3D	57	54	42	16	23	36	22	38	34	42	26	80
FAM40A	1028.02	2050.91	898	1514	1511	1841	2269	994.54	2508.93	1243.78	1526	1840
FAM40B	148.04	68.39	38.18	119.89	40.51	101.55	210.21	85.01	244.95	84.7	42	85.95
FAM43A	2619.7	7953.71	3971.73	8900.21	5276.24	8880.06	5224.14	8709.32	5638.04	5173.29	6285.04	5500.01
FAM43B	140	115	264	80.26	88	92	152	4	26	198	8	30
FAM45A	1173.37	2139.5	1060.79	2314.73	2211.8	2391.94	2246.33	1228.57	1272.88	1722.44	1612	2079.33
FAM46A	380	203	46	156	300	322	161	70	143	91	276	180
FAM46B	1036	1756	1559	1212.84	841	1042	431	250	272	421	337	506
FAM46C	0	4	0	0	53	8	20	56	10	46	9	12
FAM46D	0	0	0	0	0	0	0	0	0	0	0	0
FAM47A	0	0	0	0	0	0	0	0	2	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	4	0	0	0	0	0	0
FAM47E	8	4	0	12	10	24	0	0	1.57	0	6	0
FAM47E-STBD1	0	21.12	24.63	0	0	0	0	0	2.4	0	0	19.27
FAM48A	383.25	899.14	337.56	1047.31	868.74	1001.49	975.71	342.1	1011.83	550.86	836.08	1017.91
FAM48B1	0	0	0	0	0	0	0	0	0	0	0	0
FAM48B2	0	11	0	0	0	0	0	0	0	0	0	0
FAM49A	1989.68	4076.54	2410.76	3181.97	3148.02	3857	1415	1077.97	1607	1435.98	1691.75	1346
FAM49B	2204.91	3931.96	2611.07	2781.85	3250.47	3605.99	3921.4	2219.01	3037.37	3560.73	4112.93	5173.16
FAM50A	13026.57	5256.81	9531.82	5538.39	3970	4391	6223.01	3305.06	4013	5413.76	3629.17	5807
FAM50B	0	26	40	14	0	12	2	0	2	0	28	8
FAM53A	58	42	121	21	58	24	20	10	22	54	22	29.98
