	baseMean	log2FoldChange	lfcSE	pvalue	padj
VEZT	2135.93177150217	-0.0208602794312939	0.198434018979845	0.900666091106245	0.944083462227857
VGLL4	6341.95455158722	0.126459848177416	0.198088545177184	0.448771275195431	0.629533067030325
VHL	2795.4607422485	1.22172949633498	0.549253073814848	2.00125938154107e-07	0.000261364475229264
VILL	162.346081115371	0.176374207008592	0.308636325073303	0.295924343059692	NA
VIM	381026.59603968	-0.13486669371132	0.191345623431883	0.409306575168619	0.595935771650185
VKORC1	6733.98249667857	0.141292008072479	0.191397497805258	0.387435813019848	0.576655633602505
VKORC1L1	366.876640247384	-0.269090194273269	0.286316650195715	0.135554021000856	NA
VLDLR	954.883089133919	-0.034533805862016	0.263755420072631	0.851146240273795	0.912766106307028
VMA21	1584.4120506302	0.184285241796149	0.20554905943707	0.279794087292875	0.475585844630521
VMAC	132.193796241935	0.14059778666949	0.285025554804871	0.436068466784392	NA
VMO1	174.966650652385	0.386609883890312	0.326059238464212	0.015715189178794	NA
VMP1	3579.23460362183	-0.266788035655907	0.251501634883856	0.146441799636721	0.330031044565242
VN1R1	10.9621497870831	-0.224053392369861	0.440341418729047	0.00105307839462759	NA
VN1R2	8.41484981420924	0.101003269194641	0.363230008714058	0.201118374524822	NA
VNN1	12.1112678627202	0.0607810333795025	0.366254861563828	0.327869889599316	NA
VOPP1	6492.09726467526	-0.0511776288538133	0.161328543432037	0.724124367798549	0.833671488304816
VPRBP	304.403279488571	-0.424573989424237	0.341212575432601	0.0061613043273707	NA
VPREB3	7.72200256195911	0.040966883898175	0.368240591476736	0.412293803801769	NA
VPS11	2409.05136599252	-0.320386710412187	0.200409382811006	0.0566561281679763	0.197139174211484
VPS13A	290.8047439471	-0.415644089034191	0.286300257307217	0.0215977126264143	NA
VPS13B	465.101308990531	-0.402518644948416	0.282963849297235	0.0267509242216941	NA
VPS13C	1516.09342842062	0.178338420206147	0.256554435323599	0.332504007712423	0.528070815653535
VPS13D	619.598783066205	-0.031618249425305	0.264699951174629	0.863555476924584	0.921653177018471
VPS16	3199.28430407872	0.116448083997081	0.199808576589243	0.487705470873432	0.66302221890427
VPS18	7090.52032846498	0.177037439037641	0.171586076118668	0.243489929803912	0.437354563368629
VPS25	4785.14194934139	0.227798535210662	0.198229556498834	0.172607098331838	0.362225287233071
VPS26A	3209.76237663689	0.0156779895876075	0.175563834331276	0.919067517216226	0.954894333718688
VPS26B	5137.40195997068	-0.358456978220538	0.190131107019987	0.027672816542277	0.140170775969801
VPS28	16494.4503395574	0.565929058464838	0.241633187187298	0.00192198482956615	0.0395545797232101
VPS29	3781.13155487312	0.150778237790669	0.196205412698902	0.363720242152686	0.555959859766791
VPS33A	2545.58856051947	0.00266979397437683	0.18370361645781	0.986618463721235	0.993243424083141
VPS33B	770.925071688354	0.117245379192018	0.219018536305392	0.505374681837273	0.677174419780587
VPS35	4845.14810657038	-0.220487567201821	0.210527891665695	0.201688849971614	0.39540501085253
VPS36	1009.88177126091	-0.248648535536815	0.235614652791858	0.169634473746911	0.358658698740912
VPS37A	1066.733861142	-0.189565538315326	0.230560186156617	0.291582886381476	0.48771467060859
VPS37B	3216.02829002676	0.303658996463286	0.19339248706638	0.0649695140162356	0.210982640626283
VPS37C	1177.35879493295	-0.0960875805328622	0.218840813714516	0.585021262542203	0.737708869503013
VPS37D	178.740607715243	0.10206984602564	0.307441955261763	0.546851396486002	NA
VPS39	2793.60224887295	-0.189933728369418	0.177692057145037	0.222236375205088	0.417012508646329
VPS41	2715.9153564369	-0.359545796053001	0.228481908163282	0.0447766831506053	0.176700786630399
VPS45	1043.53079744575	-0.111689343734651	0.218764630247944	0.5255403508623	0.691310087184318
VPS4A	6483.80889466812	0.290015945949666	0.17800221257573	0.0626700993053787	0.207524111065853
VPS4B	1609.89223842442	-0.0964462528460003	0.190301504029613	0.553780317202812	0.715250134432377
VPS52	1469.8800037906	-0.28846646660606	0.236705021844126	0.111604851465712	0.282213693497686
VPS53	1251.73618421368	0.295085693231124	0.210669866236977	0.0876177826049722	0.246510125852136
VPS54	477.120500859549	-0.184726355390972	0.234569686064383	0.306884313945177	NA
VPS72	3386.05205665563	0.372675402621405	0.19377899999606	0.0236899125650974	0.129818561741393
VPS8	2275.59323132059	-0.161366917088456	0.181557516283329	0.306881456688682	0.50223957698674
VRK1	488.934074544059	0.140574915588144	0.252541004427506	0.44429808482246	NA
VRK2	295.745467085252	0.0596153514448073	0.282088941661991	0.742328116082964	NA
VRK3	2246.24977865642	0.281236540486956	0.204012583248727	0.097681422852819	0.262046590424814
VSIG1	44.3957901493066	0.228348519858859	0.340307095351518	0.0932186069017827	NA
VSIG10	901.367048485544	-0.169520895910465	0.238031799268314	0.350528831550411	0.544125183048538
VSIG10L	31.8294531600307	-0.0879501011082133	0.354813819354128	0.382963335056836	NA
VSIG2	21.4525891123788	0.271135408741969	0.470284632377488	0.000671989604671057	NA
VSNL1	901.592854484993	-0.158115624291108	0.234798870478452	0.381937533073906	0.571336870462896
VSTM2L	68.3922299275622	0.151003794162946	0.335150770642047	0.283173002714888	NA
VSTM4	140.035503199367	-0.154411953333026	0.298609950116057	0.377341093379163	NA
VTA1	1638.43810872618	-0.188695037277379	0.197995161365576	0.258244381653735	0.453517503563809
VTI1A	758.952706740886	0.0500755928215997	0.220548771382725	0.776722256642088	0.868616469679949
VTI1B	3978.35464307712	0.258998249956671	0.186694017748951	0.107444829275719	0.277044317935023
VWA1	69.1627299210906	0.0698844576297613	0.3342615184266	0.620504272754439	NA
VWA2	4.45001930748806	0.0702160380751869	0.367594643242568	0.23306362885912	NA
VWA5A	1075.46287607051	-0.449286581414297	0.249646449469698	0.0144115634043548	0.0994969258471577
VWA5B2	20.5965946798869	-0.0493162661198622	0.362581408003668	0.5090730668291	NA
VWC2	90.4758816980487	0.117683414426247	0.324034361912458	0.446450428913867	NA
